tconst,title,genres,averagerating,numvotes,studio,domestic_gross,popularity,release_date,vote_average,vote_count,month
tt0842926,The Kids Are All Right,"['Comedy', 'Drama', 'Romance']",7.0,120656,Focus,20800000.0,8.426,2010-07-09,6.6,854,7
tt0848537,Epic,"['Adventure', 'Animation', 'Family']",6.7,95318,Fox,107500000.0,13.995,2013-05-24,6.4,1670,5
tt0850709,Risen,"['Biography', 'Drama']",5.3,182,Sony,36900000.0,10.089,2016-02-18,5.8,433,2
tt0864835,Mr. Peabody & Sherman,"['Adventure', 'Animation', 'Comedy']",6.8,57277,Fox,111500000.0,12.812999999999999,2014-03-07,6.6,1357,3
tt0872230,My Soul to Take,"['Horror', 'Mystery', 'Thriller']",4.8,18381,Uni.,14700000.0,9.808,2010-10-08,5.4,247,10
tt0873886,Red State,"['Action', 'Crime', 'Horror']",6.2,59266,SMod,1100000.0,7.816,2011-09-23,6.1,472,9
tt0882977,Snitch,"['Action', 'Drama', 'Thriller']",6.5,78142,LG/S,42900000.0,0.6,2011-01-01,1.0,1,1
tt0884732,The Wedding Ringer,['Comedy'],6.7,66893,SGem,64500000.0,15.876,2015-01-16,6.5,961,1
tt0892318,Letters to Juliet,"['Adventure', 'Comedy', 'Drama']",6.6,86137,Sum.,53000000.0,9.394,2010-05-14,6.9,1706,5
tt0892769,How to Train Your Dragon,"['Action', 'Adventure', 'Animation']",8.1,611299,P/DW,217600000.0,28.734,2010-03-26,7.7,7610,3
tt0892791,Shrek Forever After,"['Adventure', 'Animation', 'Comedy']",6.3,167532,P/DW,238700000.0,15.040999999999999,2010-05-16,6.1,3843,5
tt0903624,The Hobbit: An Unexpected Journey,"['Adventure', 'Family', 'Fantasy']",7.9,719629,WB (NL),303000000.0,26.939,2012-12-14,7.2,12076,12
tt0903657,Love & Mercy,"['Biography', 'Drama', 'Music']",7.4,32238,RAtt.,12600000.0,10.103,2015-06-05,7.2,363,6
tt0918940,The Legend of Tarzan,"['Action', 'Adventure', 'Drama']",6.3,150154,WB,126600000.0,14.797,2016-07-01,5.8,4102,7
tt0935075,Rabbit Hole,['Drama'],7.0,45357,LGF,2200000.0,9.389,2010-12-16,6.8,292,12
tt0938283,The Last Airbender,"['Action', 'Adventure', 'Family']",4.1,137734,Par.,131800000.0,16.595,2010-07-01,4.6,2143,7
tt0944835,Salt,"['Action', 'Mystery', 'Thriller']",6.4,277204,Sony,118300000.0,13.025,2010-07-23,6.3,3240,7
tt0945513,Source Code,"['Action', 'Drama', 'Sci-Fi']",7.5,452036,Sum.,54700000.0,13.495,2011-04-01,7.2,4529,4
tt0947798,Black Swan,"['Drama', 'Thriller']",8.0,648854,FoxS,107000000.0,13.745,2010-12-03,7.6,8374,12
tt0947810,Green Zone,"['Action', 'Drama', 'Thriller']",6.8,122132,Uni.,35100000.0,11.519,2010-03-11,6.4,1176,3
tt0948470,The Amazing Spider-Man,"['Action', 'Adventure', 'Sci-Fi']",7.0,525632,Sony,262000000.0,24.391,2012-07-04,6.5,10411,7
tt0954947,The Killer Inside Me,"['Crime', 'Drama', 'Horror']",6.1,31727,IFC,217000.0,7.087000000000001,2010-04-27,5.9,304,4
